time,threads,tps,qps,r,w,o,lat,err,reconn
249,16,4091.84,116170.59,52894.99,55091.91,8183.69,9.56,12.00,0.00
250,16,4074.96,117322.87,53623.48,55549.46,8149.92,9.22,18.00,0.00
251,16,4103.02,116920.60,53185.27,55529.29,8206.04,9.91,16.00,0.00
252,16,4162.09,116744.63,53289.20,55131.24,8324.19,9.22,27.00,0.00
253,16,4080.96,116583.87,53042.49,55380.47,8160.92,9.73,13.00,0.00
254,16,4111.76,116708.26,53222.93,55260.81,8224.52,9.39,15.00,0.00
255,16,4118.20,116936.68,53286.59,55413.69,8236.40,9.39,26.00,0.00
256,16,4111.94,117171.23,53444.19,55503.16,8223.88,9.39,21.00,0.00
257,16,4170.11,117051.16,53312.44,55398.50,8340.23,9.22,9.00,0.00
258,16,4117.93,117552.86,53631.02,55685.99,8235.85,9.73,14.00,0.00
259,16,4239.05,117420.49,53547.68,55394.71,8478.11,9.06,22.00,0.00
260,16,4142.02,118112.57,54040.26,55788.27,8284.04,9.06,14.00,0.00
261,16,4125.90,116743.11,53257.68,55233.63,8251.80,9.56,21.00,0.00
262,16,4046.96,116463.99,53182.54,55188.52,8092.93,9.56,19.00,0.00
263,16,4052.90,116761.10,53231.68,55422.62,8106.80,9.56,18.00,0.00
264,16,4135.10,115996.78,52842.27,54884.32,8270.20,9.73,25.00,0.00
265,16,4088.13,117332.82,53495.74,55660.81,8176.27,9.22,19.00,0.00
266,16,4016.96,116810.85,53394.47,55382.45,8033.92,9.39,23.00,0.00
267,16,4099.09,116175.54,52954.16,55023.20,8198.18,9.56,19.00,0.00
268,16,4071.85,115646.81,52691.09,54812.02,8143.71,9.91,23.00,0.00
269,16,4086.86,114769.16,52339.25,54256.18,8173.73,9.39,16.00,0.00
270,16,4016.01,115154.38,52577.17,54545.18,8032.03,9.22,18.00,0.00
271,16,4063.14,114604.93,52228.79,54250.86,8125.28,9.39,20.00,0.00
272,16,4068.13,114992.55,52468.62,54387.68,8136.25,9.39,28.00,0.00
273,16,4039.92,114873.73,52363.97,54428.93,8080.84,9.73,21.00,0.00
274,16,4003.95,114536.56,52263.34,54265.32,8007.90,9.39,12.00,0.00
275,16,4084.85,115281.84,52550.10,54562.03,8169.71,9.39,17.00,0.00
276,16,4046.27,115737.70,52712.51,54932.66,8092.54,9.73,13.00,0.00
277,16,4093.98,115773.55,52855.79,54730.79,8186.97,9.56,13.00,0.00
278,16,4070.01,115530.41,52752.19,54637.19,8141.03,9.22,17.00,0.00
279,16,4098.87,115797.28,52867.30,54731.24,8198.74,9.22,17.00,0.00
280,16,4026.97,114757.18,52258.63,54446.61,8051.94,9.56,21.00,0.00
281,16,4032.88,115448.64,52758.46,54623.41,8066.76,9.39,22.00,0.00
282,16,4099.23,114411.50,52179.96,54033.07,8198.47,9.22,15.00,0.00
283,16,4036.91,114611.34,52335.78,54202.74,8072.81,9.39,15.00,0.00
284,16,4049.07,116252.02,53167.92,54985.96,8098.14,9.06,22.00,0.00
285,16,4046.97,116121.18,53058.63,54967.61,8094.94,9.39,18.00,0.00
286,16,4151.20,116812.74,53304.62,55205.71,8302.41,9.22,14.00,0.00
287,16,3976.93,114402.12,52219.14,54229.11,7953.87,10.09,11.00,0.00
288,16,4122.64,116269.90,53094.39,54931.23,8244.28,9.22,22.00,0.00
289,16,4060.21,115591.01,52697.74,54772.85,8120.42,9.56,18.00,0.00
290,16,4083.91,116011.34,52904.78,54937.74,8168.81,9.73,24.00,0.00
291,16,4074.20,116716.62,53279.57,55288.66,8148.39,9.39,15.00,0.00
292,16,4074.93,115679.15,52759.16,54770.12,8149.87,9.39,22.00,0.00
293,16,4085.94,114998.33,52490.24,54336.21,8171.88,9.22,22.00,0.00
294,16,4053.17,116028.96,53021.26,54901.34,8106.35,9.22,13.00,0.00
295,16,3989.74,115261.49,52542.58,54739.43,7979.48,9.73,14.00,0.00
296,16,4071.15,116182.22,52999.93,55039.00,8143.30,9.22,10.00,0.00
297,16,3953.11,115090.31,52471.51,54713.57,7905.23,9.73,21.00,0.00
298,16,4050.97,115180.06,52547.57,54530.56,8101.93,9.56,9.00,0.00
299,16,4135.14,116940.07,53374.86,55294.92,8270.29,9.22,16.00,0.00
300,16,4119.58,117586.97,53597.52,55750.30,8239.16,9.56,26.00,0.00
301,16,4118.11,116349.04,53036.39,55076.44,8236.22,9.73,22.00,0.00
302,16,4189.02,117031.68,53369.31,55284.32,8378.05,9.22,18.00,0.00
303,16,3870.93,114536.88,52230.03,54565.99,7740.86,9.91,11.00,0.00
304,16,4088.96,116233.75,52989.43,55065.41,8178.91,9.73,20.00,0.00
305,16,4143.30,116603.44,53113.85,55204.00,8285.60,9.73,21.00,0.00
306,16,4163.81,117047.75,53410.61,55307.52,8329.63,9.22,19.00,0.00
307,16,4107.93,117995.87,53889.03,55891.99,8214.85,9.39,21.00,0.00
308,16,4149.96,116611.97,53279.53,55033.51,8298.93,9.22,14.00,0.00
309,16,4155.28,117541.01,53631.66,55597.79,8311.57,9.06,21.00,0.00
310,16,4071.88,117351.50,53624.40,55583.34,8143.76,9.39,22.00,0.00
311,16,4085.08,117782.45,53859.12,55754.16,8169.17,9.06,26.00,0.00
312,16,4108.00,116316.06,52987.03,55114.03,8215.00,9.73,19.00,0.00
313,16,4177.00,116990.87,53390.94,55243.94,8355.99,9.06,17.00,0.00
314,16,4073.98,117079.35,53365.70,55565.69,8147.95,9.56,16.00,0.00
315,16,4037.00,116351.01,53086.00,55191.00,8074.00,9.73,18.00,0.00
316,16,4192.05,117117.37,53398.62,55334.65,8384.10,9.22,11.00,0.00
317,16,4108.00,116236.08,52936.03,55085.04,8215.01,9.73,14.00,0.00
318,16,4111.82,116512.84,53047.65,55241.55,8223.64,9.56,21.00,0.00
319,16,4071.03,116692.92,53207.42,55342.44,8143.06,9.56,13.00,0.00
320,16,4149.06,117294.68,53462.77,55534.80,8297.12,9.22,18.00,0.00
321,16,4129.10,116793.71,53290.24,55244.28,8259.19,9.39,23.00,0.00
322,16,4110.92,116906.68,53357.94,55326.90,8221.84,9.39,20.00,0.00
323,16,4163.08,116629.31,53239.05,55065.09,8325.16,9.39,24.00,0.00
324,16,4126.91,116942.44,53292.83,55394.79,8254.82,9.39,19.00,0.00
325,16,4106.09,117035.47,53369.13,55454.17,8212.17,9.73,14.00,0.00
326,16,4107.98,116423.34,53048.70,55158.69,8215.95,9.56,18.00,0.00
327,16,4073.69,116708.07,53218.93,55342.77,8146.38,9.73,12.00,0.00
328,16,4138.05,115690.31,52766.60,54646.62,8277.09,9.56,25.00,0.00
329,16,3977.13,115646.83,52732.75,54959.82,7954.26,9.73,22.00,0.00
330,16,3932.90,113868.12,51811.69,54190.63,7865.80,10.46,20.00,0.00
331,16,3999.34,116292.90,53171.53,55124.69,7996.68,9.22,12.00,0.00
332,16,4129.87,115932.40,52782.36,54888.30,8261.74,9.39,15.00,0.00
333,16,4102.90,116259.06,53056.66,54996.61,8205.79,9.22,14.00,0.00
334,16,4101.23,116059.64,52932.03,54926.14,8201.47,9.22,14.00,0.00
335,16,4114.72,115466.27,52624.48,54611.34,8230.45,9.39,20.00,0.00
336,16,4125.20,116683.72,53312.61,55120.70,8250.40,9.22,18.00,0.00
337,16,3970.75,115529.64,52716.64,54871.50,7941.49,9.73,18.00,0.00
338,16,4014.19,114994.36,52498.45,54467.54,8028.37,9.39,13.00,0.00
