time,threads,tps,qps,r,w,o,lat,err,reconn
186,16,4793.00,136494.12,62282.06,64626.06,9586.01,7.43,27.00,0.00
187,16,4810.04,136592.02,62258.46,64713.48,9620.07,7.56,18.00,0.00
188,16,4804.00,133379.04,60757.02,63014.02,9608.00,7.56,19.00,0.00
189,16,4668.00,132665.86,60446.94,62882.94,9335.99,9.06,19.00,0.00
190,16,4779.92,133803.80,61073.00,63170.96,9559.84,7.56,17.00,0.00
191,16,4660.07,133319.98,60732.90,63266.94,9320.14,7.56,23.00,0.00
192,16,4783.98,134004.51,61140.78,63296.77,9566.96,7.56,19.00,0.00
193,16,4710.03,133265.99,60678.45,63166.47,9421.07,8.13,20.00,0.00
194,16,4645.98,132024.37,60156.71,62575.70,9291.96,9.22,19.00,0.00
195,16,4692.99,132446.73,60378.88,62681.87,9385.98,7.98,18.00,0.00
196,16,4653.04,133401.10,61003.50,63091.52,9306.08,7.70,23.00,0.00
197,16,4625.97,132973.07,60695.58,63025.56,9251.94,7.84,21.00,0.00
198,16,4690.99,133131.84,60668.93,63080.93,9381.99,7.84,22.00,0.00
199,16,4736.01,131671.38,60110.17,62089.18,9472.03,7.70,26.00,0.00
200,16,4720.00,133154.98,60711.99,63002.99,9440.00,7.70,18.00,0.00
201,16,4772.01,133575.35,61041.16,62992.17,9542.03,7.43,17.00,0.00
202,16,4627.98,133815.28,61039.67,63517.66,9257.95,7.98,15.00,0.00
203,16,4683.99,134265.68,61227.86,63669.85,9367.98,7.70,17.00,0.00
204,16,4631.05,133243.53,60802.70,63178.72,9262.11,7.84,19.00,0.00
205,16,4618.76,131997.22,60217.91,62541.79,9237.53,7.98,23.00,0.00
206,16,4701.20,134187.84,61223.66,63561.77,9402.41,7.56,25.00,0.00
207,16,4677.86,134710.06,61522.20,63832.13,9355.73,7.56,20.00,0.00
208,16,4641.17,134195.87,61210.22,63704.31,9281.34,7.70,21.00,0.00
209,16,4619.95,133402.67,60911.39,63251.37,9239.91,7.70,23.00,0.00
210,16,4740.04,135327.21,61795.55,64050.57,9481.08,7.56,25.00,0.00
211,16,4800.88,134915.62,61564.46,63750.40,9600.76,7.56,23.00,0.00
212,16,4661.07,133189.05,60749.94,63115.97,9323.14,7.70,16.00,0.00
213,16,4700.01,133209.23,60741.11,63068.11,9400.02,7.70,22.00,0.00
214,16,4671.03,132506.71,60377.32,62787.34,9342.05,8.13,25.00,0.00
215,16,4686.93,134133.12,61212.14,63547.11,9373.87,7.70,23.00,0.00
216,16,4834.01,136410.40,62308.18,64434.19,9668.03,7.43,16.00,0.00
217,16,4670.03,135773.77,61924.35,64509.37,9340.05,9.06,21.00,0.00
218,16,4782.99,136304.82,62149.92,64588.92,9565.99,7.56,28.00,0.00
219,16,4890.04,136633.12,62318.51,64534.53,9780.08,7.30,22.00,0.00
220,16,4822.99,135575.76,61696.89,64232.89,9645.98,8.13,22.00,0.00
221,16,4820.95,136062.51,62069.32,64351.30,9641.89,7.43,22.00,0.00
222,16,4826.01,136722.21,62375.09,64695.10,9652.01,7.43,21.00,0.00
223,16,4782.00,136472.06,62239.03,64669.03,9564.00,7.56,26.00,0.00
224,16,4795.03,136706.94,62382.43,64734.45,9590.07,7.43,18.00,0.00
225,16,4788.01,136591.40,62273.18,64742.19,9576.03,7.56,21.00,0.00
226,16,4800.97,136871.16,62463.62,64805.60,9601.94,7.43,19.00,0.00
227,16,4776.02,135548.65,61794.30,64202.31,9552.05,7.70,22.00,0.00
228,16,4783.94,135867.32,61918.24,64381.21,9567.88,8.13,15.00,0.00
229,16,4827.01,136415.23,62281.11,64480.11,9654.02,7.30,15.00,0.00
230,16,4770.04,136039.00,62171.46,64327.47,9540.07,7.43,21.00,0.00
231,16,4753.98,136223.29,62165.68,64550.66,9506.95,7.56,21.00,0.00
232,16,4819.02,136526.56,62422.25,64465.26,9639.04,7.30,28.00,0.00
233,16,4709.98,136943.53,62544.79,64978.78,9419.97,7.56,19.00,0.00
234,16,4810.02,136633.57,62363.26,64651.27,9619.04,7.43,21.00,0.00
